ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2017,"2017",1,"Full-time","411011","Firstline supervisors of retail sales workers",55111.4289903566,5187.36080886081,53197,5622.820252727243,466,"Georgia","04000US13"
2,"Female",2017,"2017",1,"Full-time","411011","Firstline supervisors of retail sales workers",44398.93371564257,5092.086576434451,44641,5156.71746153786,390,"Georgia","04000US13"
2,"Female",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",33045.7012987013,5063.336006200402,7392,2108.7861419723477,54,"Georgia","04000US13"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",48443.3266394529,2380.93800035159,94315,7445.6505027802905,993,"Georgia","04000US13"
2,"Female",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",80467.504225783,6348.694043625491,52298,5575.775933970766,495,"Georgia","04000US13"
1,"Male",2017,"2017",1,"Full-time","412010","Cashiers",26376.106184249336,3824.917463627006,10171,2472.7150554368222,83,"Georgia","04000US13"
1,"Male",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",47577.29308285824,3608.9568237581684,96297,7521.463651808036,819,"Georgia","04000US13"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",52409.85313916142,3005.61044631498,22729,3690.294509192316,228,"Georgia","04000US13"
1,"Male",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",105699.04426626887,7795.873967493781,80445,6889.279050146516,825,"Georgia","04000US13"
2,"Female",2017,"2017",1,"Full-time","412010","Cashiers",20370.554605057758,2239.841480129623,32030,4375.3570092590035,266,"Georgia","04000US13"
1,"Male",2016,"2016",1,"Full-time","412010","Cashiers",26603.465014725298,5962.4792738155,9847,2433.0131068950705,89,"Georgia","04000US13"
1,"Male",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",48307.69297822853,3521.012645629342,95446,7485.8784213892895,806,"Georgia","04000US13"
1,"Male",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",48839.15164648796,3875.1653908302656,21227,3566.661627919823,233,"Georgia","04000US13"
1,"Male",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",99656.5459553198,6868.045714260106,78424,6801.707442900774,822,"Georgia","04000US13"
2,"Female",2016,"2016",1,"Full-time","411011","Firstline supervisors of retail sales workers",44023.38896168795,6222.627212974269,45025,5177.574138298651,381,"Georgia","04000US13"
2,"Female",2016,"2016",1,"Full-time","412010","Cashiers",19162.945578443938,3046.722736891025,31991,4372.111434411926,243,"Georgia","04000US13"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",30409.279826933478,4976.774889555257,9245,2357.6621968957347,63,"Georgia","04000US13"
2,"Female",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",47366.1968438706,2157.4250818506785,98982,7619.518577484113,993,"Georgia","04000US13"
2,"Female",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",78394.26252673884,6841.309617287443,46281,5248.385526402249,447,"Georgia","04000US13"
1,"Male",2016,"2016",1,"Full-time","411011","Firstline supervisors of retail sales workers",59859.34720079445,6767.81760068324,56391,5785.2719197065735,494,"Georgia","04000US13"
